title_id,name,promotion,active,names,rating,votes
221,Independent Junior Heavyweight Championship,117,True,"Independent Junior Heavyweight Championship,Independent World Junior Heavyweight Championship,FMW World Junior Heavyweight Championship,Independent World Junior Heavyweight Championship,",7.5,2.0
2251,Smash Wrestling Championship,992,True,"Smash Wrestling Championship,",,
1645,ZERO1 World Junior Heavyweight Championship,13,True,"ZERO1 World Junior Heavyweight Championship,NWA World Junior Heavyweight  Championship,",,
1466,NWA Smoky Mountain Tag Team Championship,726,False,"NWA Smoky Mountain Tag Team Championship,NWA Tennessee Tag Team Championship,NWA Smoky Mountain Tag Team Championship,CWA World Tag Team Championship,",,
1342,wXw Unified World Wrestling Championship,35,True,"wXw Unified World Wrestling Championship,",8.93,41.0
3747,Mid-South Mississippi Championship,64,False,"Mid-South Mississippi Championship,NWA Tri-State Mississippi Championship,",,
19,WWE Cruiserweight Championship,1,False,"WWE Cruiserweight Championship,WWF Cruiserweight Championship,WCW Cruiserweight Championship,",5.47,145.0
365,WLW Heavyweight Championship,258,True,"WLW Heavyweight Championship,",6.0,2.0
2681,IWA World Tag Team  Championship,1153,False,"IWA World Tag Team  Championship,",,
826,WWWF United States Tag Team Championship,1,False,"WWWF United States Tag Team Championship,NWA Capitol Wrestling United States Tag Team Championship,",4.5,2.0
122,ROH World Tag Team Championship,4,True,"ROH World Tag Team Championship,ROH Tag Team Championship,",8.66,109.0
3679,WWE NXT North American Championship,1,True,"WWE NXT North American Championship,",8.3,105.0
827,WWF Junior Heavyweight Championship,7,False,"WWF Junior Heavyweight Championship,WWWF Junior Heavyweight Championship,",6.0,1.0
146,IWGP Junior Heavyweight Championship,7,True,"IWGP Junior Heavyweight Championship,J-Crown Championship,IWGP Junior Heavyweight Championship,",9.28,184.0
649,Open The Twin Gate Championship,96,True,"Open The Twin Gate Championship,",7.29,17.0
2811,WCR Heavyweight Championship,1661,True,"WCR Heavyweight Championship,IWR Heavyweight  Championship,",,
2714,PPW Heavyweight   Championship,1526,True,"PPW Heavyweight   Championship,",,
1912,WWE NXT Tag Team Championship,1,True,"WWE NXT Tag Team Championship,",8.37,150.0
3317,WWN Championship,1461,False,"WWN Championship,",,
790,UWF Television Championship,64,False,"UWF Television Championship,Mid-South Television Championship,",,
100,Honorary CZW Junior Heavyweight Championship,14,False,"Honorary CZW Junior Heavyweight Championship,CZW Junior Heavyweight Championship,",7.67,6.0
3669,Future Of Stardom Championship,745,True,"Future Of Stardom Championship,",6.75,12.0
150,WCW World Television Championship,2,False,"WCW World Television Championship,",6.82,50.0
314,Open The Triangle Gate Championship,96,True,"Open The Triangle Gate Championship,",8.68,19.0
529,Mexican National Women's Tag Team Championship,,False,"Mexican National Women's Tag Team Championship,",,
13,WWE European Championship,1,False,"WWE European Championship,WWF European Championship,",5.94,108.0
2262,IWA World Heavyweight   Championship,1936,True,"IWA World Heavyweight   Championship,IWA International Heavyweight Championship,",,
3514,The Crash Heavyweight Championship,1113,True,"The Crash Heavyweight Championship,",,
5153,PWR Remix Championship,1779,True,"PWR Remix Championship,",,
86,NWA International Lightweight Tag Team Championship,13,True,"NWA International Lightweight Tag Team Championship,ZERO1-MAX Lightweight Tag Team Championship,NWA International Lightweight Tag Team Championship,",,
740,KO-D Tag Team Championship,118,True,"KO-D Tag Team Championship,",8.6,10.0
5034,Loko Championship,3007,True,"Loko Championship,",,
3412,BJW Junior Heavyweight Championship,117,True,"BJW Junior Heavyweight Championship,",7.63,8.0
1469,Innovate Television Championship,726,False,"Innovate Television Championship,IPW Television Championship,NWA Smoky Mountain Television Championship,NWA Southern Television  Championship,NWA Smoky Mountain Television Championship,CWA Television Championship,",,
532,Mexican National Trios Championship,78,True,"Mexican National Trios Championship,",,
93,CMLL World Middleweight Championship,78,True,"CMLL World Middleweight Championship,",,
897,NWA OVW Light Heavyweight Championship,11,False,"NWA OVW Light Heavyweight Championship,",,
1287,AAA Reina de Reinas Championship,122,True,"AAA Reina de Reinas Championship,",7.75,4.0
4319,International Princess Championship,1467,True,"International Princess Championship,",7.0,2.0
1093,IWA Caribbean Heavyweight Championship,22,True,"IWA Caribbean Heavyweight Championship,MLW Caribbean Heavyweight Championship,IWA Caribbean Heavyweight Championship,",6.0,1.0
1353,Occidente Tag Team Championship,78,True,"Occidente Tag Team Championship,",,
411,IWS World Heavyweight Championship,50,True,"IWS World Heavyweight Championship,IWS Heavyweight Championship,WWS Heavyweight  Championship,DWF  Championship,",,
1558,NWA World Historic Middleweight Championship,78,True,"NWA World Historic Middleweight Championship,",,
508,Mexican National Welterweight Championship,78,True,"Mexican National Welterweight Championship,",,
989,NWA Florida Tag Team Championship,1591,False,"NWA Florida Tag Team Championship,PWF Tag Team       Championship,FCW Tag Team Championship,NWA Florida Tag Team Championship,",,
1802,Occidente Heavyweight Championship,78,True,"Occidente Heavyweight Championship,",,
911,NWA International Tag Team Championship,6,False,"NWA International Tag Team Championship,",,
98,CZW World Heavyweight Championship,14,True,"CZW World Heavyweight Championship,CZW Heavyweight Championship,",7.67,36.0
4331,AEW World Championship,2287,True,"AEW World Championship,",9.36,247.0
2670,GFW Women's Championship,1303,False,"GFW Women's Championship,",,
1140,AAA World Cruiserweight Championship,122,True,"AAA World Cruiserweight Championship,",,
5090,ROH Women's World Championship,4,True,"ROH Women's World Championship,",8.0,11.0
258,IWA Puerto Rico Intercontinental Championship,51,True,"IWA Puerto Rico Intercontinental Championship,",,
1859,IWA United States Heavyweight Championship,2260,False,"IWA United States Heavyweight Championship,NWA United States Heavyweight    Championship,",,
4216,TNT Extreme Division Championship,1530,True,"TNT Extreme Division Championship,",,
4128,BLP Midwest Championship,2009,True,"BLP Midwest Championship,BLP Indiana State Championship,",,
2964,Princess Of Princess Championship,1467,True,"Princess Of Princess Championship,TOKYO Princess Of Princess Championship,",9.46,13.0
534,CMLL World Mini Estrella Championship,78,True,"CMLL World Mini Estrella Championship,",,
1249,CWFH Heritage Tag Team Championship,966,False,"CWFH Heritage Tag Team Championship,NWA Heritage Tag Team Championship,M1W Heritage Tag Team Championship,M1W Tag Team Championship,",,
995,SHIMMER Tag Team Championship,90,False,"SHIMMER Tag Team Championship,",7.5,6.0
800,NWA Missouri Heavyweight Championship,1055,True,"NWA Missouri Heavyweight Championship,",,
128,OVW Heavyweight Championship,11,True,"OVW Heavyweight Championship,NWA OVW Heavyweight Championship,",6.13,24.0
66,wXw World Tag Team Championship,35,True,"wXw World Tag Team Championship,wXw Tag Team Championship,",7.48,27.0
3107,AWA International Television Championship,41,False,"AWA International Television Championship,",,
311,Open The Dream Gate Championship,96,True,"Open The Dream Gate Championship,",9.36,70.0
3800,GCW Extreme Championship,710,True,"GCW Extreme Championship,JCW Extreme Championship,",3.5,4.0
645,Open The Owarai Gate Championship,96,False,"Open The Owarai Gate Championship,",,
3237,WWE NXT United Kingdom Championship,1,False,"WWE NXT United Kingdom Championship,WWE United Kingdom Championship,",9.15,124.0
518,PWF United States Heavyweight Championship,259,False,"PWF United States Heavyweight Championship,",,
931,PNW Heavyweight Championship,408,False,"PNW Heavyweight Championship,NWA Pacific Northwest Heavyweight Championship,",,
220,MPW British Commonwealth Junior Heavyweight Championship,1249,False,"MPW British Commonwealth Junior Heavyweight Championship,J-Crown Championship,MPW British Commonwealth Junior Heavyweight Championship,",,
1234,Open The Freedom Gate Championship,601,False,"Open The Freedom Gate Championship,",7.86,7.0
5934,New Blood Tag Team Championship,745,True,"New Blood Tag Team Championship,",,
802,NWA United National Championship,6,False,"NWA United National Championship,",,
389,IWGP Provisional Tag Team Championship,7,False,"IWGP Provisional Tag Team Championship,",1.0,2.0
425,MCW Heavyweight Championship,152,True,"MCW Heavyweight Championship,",,
5548,AEW World Trios Championship,2287,True,"AEW World Trios Championship,",9.1,30.0
555,UWA World Light Heavyweight Championship,68,False,"UWA World Light Heavyweight Championship,",,
1086,Distrito Federal Heavyweight Championship,,False,"Distrito Federal Heavyweight Championship,",,
1954,Regina Di WAVE Championship,326,True,"Regina Di WAVE Championship,",,
355,Anarchy Heavyweight Championship,54,False,"Anarchy Heavyweight Championship,NWA Anarchy Heavyweight Championship,",,
2812,WCR Tag Team Championship,1661,True,"WCR Tag Team Championship,IWR Tag Team  Championship,",,
4604,RCW International Championship,1135,True,"RCW International Championship,RCW Cyber Championship,RCW Television  Championship,",,
4615,WildKat Tag Team Championship,846,True,"WildKat Tag Team Championship,",,
804,NWA International Heavyweight Championship,6,False,"NWA International Heavyweight Championship,",,
337,EWA Intercontinental Championship,65,True,"EWA Intercontinental Championship,",7.81,16.0
4219,WWE 24/7 Championship,1,False,"WWE 24/7 Championship,",2.18,143.0
1100,CMLL World Lightweight Championship,78,True,"CMLL World Lightweight Championship,CMLL World Super Lightweight Championship,",,
4654,IWGP Heavyweight  Championship,7,False,"IWGP Heavyweight  Championship,",3.5,2.0
524,Mexican National Women's Championship,78,True,"Mexican National Women's Championship,",,
540,ECCW Championship,134,True,"ECCW Championship,NWA ECCW Championship,",,
898,NWA OVW Hardcore Championship,11,False,"NWA OVW Hardcore Championship,",,
59,WCW World Tag Team Championship,1,False,"WCW World Tag Team Championship,NWA/WCW Unified World Tag Team Championship,WCW World Tag Team Championship,",7.34,50.0
5813,AAA Leyenda Azul Blue Demon Championship,122,True,"AAA Leyenda Azul Blue Demon Championship,",,
2327,Union Pro Fly To Everywhere World Championship,615,False,"Union Pro Fly To Everywhere World Championship,",,
104,AAA World Mini's Championship,122,True,"AAA World Mini's Championship,",,
148,IWGP Tag Team Championship,7,True,"IWGP Tag Team Championship,",7.2,113.0
170,SMW Tag Team Championship,32,False,"SMW Tag Team Championship,",7.0,3.0
910,All Asia Heavyweight Championship,1896,True,"All Asia Heavyweight Championship,",,
3028,Dove Pro Heavyweight Championship,1772,True,"Dove Pro Heavyweight Championship,",,
1817,Southside Heavyweight Championship,962,False,"Southside Heavyweight Championship,SWE World Heavyweight Championship,SWE Heavyweight Championship,NBW Southside Championship,",7.0,1.0
5889,JCW Championship,710,True,"JCW Championship,",,
2159,FUW Tag Team Championship,768,True,"FUW Tag Team Championship,NWA FUW Tag Team Championship,FUW Tag Team Championship,",,
3482,Princess Tag Team Championship,1467,True,"Princess Tag Team Championship,TOKYO Princess Tag Team Championship,",8.33,3.0
1572,Vendetta Pro International Tag Team Championship,630,True,"Vendetta Pro International Tag Team Championship,NWA International Tag Team   Championship,Vendetta Pro Tag Team Championship,APW/Vendetta Pro Unified Tag Team Championship,Vendetta Pro Tag Team Championship,",,
395,WEW Hardcore Tag Team Championship,137,True,"WEW Hardcore Tag Team Championship,",,
1518,NWA Gulf Coast Heavyweight Championship,499,False,"NWA Gulf Coast Heavyweight Championship,",,
5104,Catalyst Wrestling Championship,3063,True,"Catalyst Wrestling Championship,Capitol Wrestling Championship,",,
144,GHC Tag Team Championship,8,True,"GHC Tag Team Championship,",6.64,28.0
147,IWGP Junior Heavyweight Tag Team Championship,7,True,"IWGP Junior Heavyweight Tag Team Championship,",7.4,105.0
3873,EVE International Championship,659,True,"EVE International Championship,",,
4641,Horror Slam Heavyweight Championship,2544,True,"Horror Slam Heavyweight Championship,",,
3910,NWA Television   Championship,487,False,"NWA Television   Championship,SAW International Heavyweight Championship,SAW Television  Championship,",,
4298,Horror Slam Deathmatch Championship,2544,True,"Horror Slam Deathmatch Championship,",,
4470,CMLL-Japan Women's Championship,78,True,"CMLL-Japan Women's Championship,",4.0,1.0
2906,WWE Women's  Championship,1,True,"WWE Women's  Championship,WWE RAW Women's Championship,WWE Women's  Championship,",7.19,135.0
6069,WWE World Heavyweight  Championship,1,True,"WWE World Heavyweight  Championship,",,
1783,FUW Heavyweight Championship,768,True,"FUW Heavyweight Championship,NWA FUW Heavyweight Championship,FUW Heavyweight Championship,",,
4423,IWS Women's Championship,50,True,"IWS Women's Championship,",,
1997,NWA World Women's Tag Team Championship,9,True,"NWA World Women's Tag Team Championship,",1.5,2.0
2315,HOG Heavyweight Championship,919,True,"HOG Heavyweight Championship,",,
3116,WWE Women's World Championship,1,True,"WWE Women's World Championship,WWE SmackDown Women's Championship,",6.54,123.0
892,MSW Tag Team    Championship,389,False,"MSW Tag Team    Championship,NWA Mountain State Wrestling Tag Team Championship,MSW Tag Team    Championship,",,
2214,PROGRESS Tag Team Championship,903,True,"PROGRESS Tag Team Championship,",7.6,15.0
