wrestler_id,name,birthplace,gender,age,height,weight,career_start,career_end,promotion,rating,votes
19598,Shiki Shibusawa,"Monbetsu, Hokkaido, Japan",female,,161.0,52.0,2017-07-16,2019-03-28,,4.0,1.0
3323,Rick McGraw,"Charlotte, North Carolina, USA",male,,170.0,107.0,1975-01-01,1985-01-01,,6.67,3.0
18198,Invictus Khash,"Bellevue, Washington, USA",male,23.0,182.0,95.0,,,,7.33,3.0
1823,Bryant Anderson,"Minneapolis, Minnesota, USA",male,,185.0,114.0,1993-01-01,1995-12-01,,,
8454,Rion Mizuki,"Fukuoka, Japan",male,42.0,170.0,75.0,2007-06-08,,,,
10052,Canelo Casas,"Mexico City, Distrito Federal, Mexiko",male,,185.0,80.0,2005-03-16,,,,
8733,Michael Collins,USA,male,,178.0,80.0,1990-01-01,,,,
16889,Don Fields,"Pawhuska, Oklahoma, USA",male,,,,,,,,
1217,Tomoaki Honma,"Higashine, Yamagata, Japan",male,46.0,181.0,98.0,1997-05-18,,7,8.1,145.0
6260,Mike Pittman,"Clinton, Tennessee, USA",male,,180.0,88.0,2001-01-01,,,0.0,1.0
8414,Sergio Romo Jr.,"Monterrey, Nuevo Leon, Mexiko",male,,,,,,,,
1548,Steve Cox,"Portsmouth, Virginia, USA",male,,188.0,109.0,1987-01-01,1996-01-01,,3.0,1.0
20197,Alexander Zane,"Orlando, Florida, USA",male,,,,,,,,
1669,Nailz,"Bloomington, Minnesota, USA",male,,195.0,124.0,1984-01-01,2001-01-01,,1.61,124.0
12144,Ayumu Honda,"Fujioka, Gunma, Japan",male,34.0,163.0,75.0,2012-04-08,,137,,
20148,Marko Stunt,"Olive Branch, Mississippi, USA",male,26.0,157.0,53.0,2015-01-01,,,4.59,118.0
4742,Sonny Samson,"California, USA",male,,185.0,113.0,2005-01-01,2015-01-01,,,
9424,Shigeo Miyato,"Kanagawa, Japan",male,,177.0,93.0,1985-09-06,1995-06-18,,6.5,2.0
22886,Kayla Kassidy,"Paris, Kentucky, USA",female,,,,2019-06-30,,,,
8556,Drew Haskins,"Hendersonville, Tennessee, USA",male,34.0,185.0,,,,,,
1579,Ricky Romero,"San Bernardino, California, USA",male,,176.0,106.0,,,,6.0,1.0
4908,Cuervo,"Toluca, Estado de Mexico, Mexiko",male,49.0,173.0,87.0,1996-02-28,,,5.0,2.0
11620,D. Ramos,"Kissimmee, Florida, USA",male,41.0,183.0,88.0,2010-03-18,,,,
262,Baron von Raschke,"Omaha, Nebraska, USA",male,,191.0,127.0,1966-09-16,1996-01-01,,7.0,26.0
1497,SD Jones,Antigua & Barbuda,male,,185.0,118.0,1974-01-01,1995-01-01,,4.65,40.0
2089,Cosmo Soldier,"Kaifu, Aichi, Japan",male,51.0,163.0,80.0,1995-05-24,,498,,
471,Gene Kiniski,"Edmonton, Alberta, Canada",male,,193.0,123.0,1952-02-13,1992-02-25,,8.0,8.0
119,Ed Ferrara,"California, USA",male,,180.0,91.0,1994-01-01,,,0.44,87.0
18714,Natsuko Tora,"Kawasaki, Kanagawa, Japan",female,32.0,154.0,58.0,2016-10-30,,745,6.42,85.0
932,Edge,"Orangeville, Ontario, Canada",male,49.0,193.0,108.0,1992-07-01,,1,9.3,1579.0
8050,La Diva Salvaje,"Saltillo, Coahuila, Mexiko",male,47.0,178.0,90.0,2003-07-01,,,,
469,Jonathan Coachman,"Kansas City, Missouri, USA",male,,191.0,105.0,,,,4.9,165.0
15367,Tiny Tom,"North Carolina, USA",male,,,,,,,,
11618,Big Bill,"New York City, New York, USA",male,35.0,208.0,128.0,2009-01-01,,2287,5.39,273.0
22989,P-NUTZ,"Bangkok, Thailand",male,38.0,178.0,88.0,2012-09-27,,,,
4933,Steve DiSalvo,"Boston, Massachusetts, USA",male,,188.0,132.0,1986-01-01,2001-01-01,,6.5,2.0
