id,username,handle,date,text,replies,retweets,likes,bookmarks,views
1686174681353670656,WWE,@WWE,2023-08-01T00:39:06.000Z,"TIFFY HERE! 

#WWENXT
Tomorrow night at 8/7c on 
@USANetwork",60,271,1452,30,176049
1686173652738347008,WWE,@WWE,2023-08-01T00:35:01.000Z,"Who needs to enter the #SummerSlam Battle Royal THIS SATURDAY?

@ your pick!",667,269,2281,12,479342
1686173273208307712,WWE,@WWE,2023-08-01T00:33:30.000Z,"THE KAISER ROLL!
@wwe_kaiser
#WWERaw",66,280,2142,23,310963
1686172260254486528,WWE,@WWE,2023-08-01T00:29:29.000Z,Who will walk out of #SummerSlam with the #ICTitle?,84,146,656,10,131415
1686168829276098560,WWE,@WWE,2023-08-01T00:15:51.000Z,"What happened when 
@LoganPaul
 called out 
@SamanthatheBomb
 in front of 
@KingRicochet
 on #WWERaw?! ",170,829,6124,149,516878
1686167704175071232,WWE,@WWE,2023-08-01T00:11:22.000Z,"It's been MONTHS in the making between 
@LoganPaul
 & 
@KingRicochet
 ahead of #SummerSlam this Saturday!",38,325,1776,18,211913
1686166203125964800,WWE,@WWE,2023-08-01T00:05:24.000Z,"The Social Media Megastar 
@LoganPaul
 takes on ""The Highlight of the Night"" 
@KingRicochet
 THIS SATURDAY at 
@SummerSlam
!

 DETROIT
 https://ticketmaster.com/event/08005E87913B1AA4…",87,588,5467,15,253024
1686164867936325632,WWE,@WWE,2023-08-01T00:00:06.000Z,"#WWERaw starts RIGHT NOW on 
@USANetwork
!",30,199,861,2,113371
1686134643702067200,WWE NXT,@WWENXT,2023-07-31T22:00:00.000Z,"Is this what's in store for 
@jacyjaynewwe
 TOMORROW NIGHT on NXT?
@Real_Valkyria
 #WWENXT",17,188,1649,19,210542
1686154525365747712,WWE NXT,@WWENXT,2023-07-31T23:19:00.000Z,"TOMORROW NIGHT on #WWENXT 
@YulisaLeon_wwe
 & 
@ValentiFerozWWE
 will take on the team of 
@lolavicewwe
 & 
@elektralopezwwe
! 

 8/7c on 
@USANetwork",66,372,2253,17,249888
1686150470002266112,WWE,@WWE,2023-07-31T23:02:53.000Z,#WWERaw predictions ,124,108,659,4,146447
1686141345067302912,Kevinn,@FightOwensFight,2023-07-31T22:26:38.000Z,"Detroit!!!

Meet me and 
@SamiZayn
 at Cricket on 8/5! 

#CricketSponsored",49,126,976,5,222963
1686134643668480000,WWE,@WWE,2023-07-31T22:00:00.000Z,"It's the final show before #SummerSlam and ANYTHING can happen... 

Here is your preview for tonight's #WWERaw presented by 
@SNICKERS
!",16,131,696,8,111406
1686119545377812481,WWE,@WWE,2023-07-31T21:00:00.000Z,"Before he faces 
@KingRicochet
 at #SummerSlam, 
@LoganPaul
 will be LIVE on #WWERaw TONIGHT! 

 8/7c on 
@USANetwork",71,236,1272,8,193847
1686111994712080385,WWE,@WWE,2023-07-31T20:30:00.000Z,"TONIGHT on #WWERaw 
@maxxinedupri
 will be in action when she goes one-on-one with 
@WWEValhalla
!

 8/7c on 
@USANetwork",53,311,2472,11,231335
1686104446151892992,WWE NXT,@WWENXT,2023-07-31T20:00:00.000Z,"Who is next for 
@Carmelo_WWE
? 

#WWENXT",156,270,2663,15,240545
